,input,prediction,ground_truth
341,"John had to get up early Saturday, so he went to bed extra late on Friday instead of turning in early",1,0
342,"Since he'd be driving in the middle of the day, John was sure to take his sunglasses.",1,1
343,"Since he'd be driving in the middle of the night, John was sure to take his sunglasses.",1,0
344,Donald is very ill. He will need someone to get groceries for him.,0,1
345,Donald is very ill. He will not need anyone to get groceries for him.,0,0
346,Daniel had a bus to catch in 10 minutes so he heated his soup in the microwave rather than fire up the wood burning stove.,1,1
347,Daniel had a a bus to catch in 10 minutes so he fired up the wood burning stove rather than heat his soup in the microwave.,0,0
348,"The meal we ordered was more expensive than expected, so we ordered extra meal.",1,0
349,"The meal we ordered was cheaper than expected, so we ordered extra meal.",1,1
350,They wanted to read at night so they put on the lights,1,1
351,They wanted to read at night so they put out the lights,1,0
352,Jim needed to lather on his shaving cream so he grabbed his comb.,1,0
353,Jim needed to lather on his shaving cream so he grabbed his brush.,1,1
354,It is more likely that the vegetables will grow if you use one seed instead of a pocket full of seeds.,1,0
355,It is more likely that the vegetables will grow if you use a pocket full of seeds instead of just one seed.,0,1
356,"Lucy applied for a loan in the bank, bank is asking to mortgage her jwellery.",1,1
357,"Lucy applied for a loan in the bank, bank is asking to mortgage her kidney.",1,0
358,Brad runs the red light since he was forced to do so by a criminal. Others will be more sympathetic if he expresses the reason.,0,1
359,Brad runs the red light since he was forced to do so by a criminal. Others will be more sympathetic if he stays quiet.,0,0
360,Frank was able to find his favorite socks easily among the other sixty five pairs in his drawer.,1,0
361,Frank was able to find his favorite socks easily among the other three pairs in his drawer.,1,1
362,The mother held hands with each of her twins as they crossed the street together.,1,1
363,The mother held hands with each of her triplets as they crossed the street together.,1,0
364,The safest place to keep a glass full of fruit punch is on a table.,0,1
365,The safest place to keep a glass full of fruit punch is on top of the stove.,1,0
366,"Since the steak was left cooking on the oven for 3 hours, it was burnt to a crisp.",1,1
367,"Since the steak was left cooking on the oven for 2 minutes, it was burnt to a crisp.",1,0
368,"During the heat wave, many people decided to turn their air conditioners on.",1,1
369,"During the cold snap, many people decided to turn their air conditioners on.",1,0
370,"Since I crushed the cardboard box, it became smaller in size.",1,1
371,"Since I crushed the cardboard box, it became larger in size.",1,0
372,Jacob does not have a test until tomorrow so he can not study for it today.,1,0
373,Jacob does not have a test until tomorrow so he can study for it today.,1,1
374,Mary decided to study hard for the exam because her future depends on it,1,1
375,Mary decided to study hard for exam because her past depends on it,1,0
376,It is more common to put books in a drawer instead of on a shelf.,1,0
377,It is more common to put books on a shelf instead of in a drawer.,1,1
378,"To keep documents safer in case of flood, it's better to put them in a cardboard box instead of a plastic box.",1,0
379,"To keep documents safer in case of flood, it's better to put them in a plastic box instead of a cardboard box.",1,1
380,"If the meat is frozen, leaving it at room temperature for 500 minutes will be enough for it to thaw.",1,1
381,"If the meat is frozen, leaving it at room temperature for 5 minutes will be enough for it to thaw.",1,0
382,"In order to sautee a cup of onions, probably Carol will need to use 10 tablespoons of olive oil.",1,0
383,"In order to sautee a cup of onions, probably Carol will need to use 2 tablespoons of olive oil.",1,1
384,"Given the contagious window lasting four days, if today is Thursday, then I should plan the party for the next week rather than this week.",1,1
385,"Given the contagious window lasting four days, if today is Thursday then I should plan the party for this week rather than the next week.",1,0
386,A son visiting his parents every day is more likely to carry special gifts each time for them than a son who vist them every 2 years.,1,0
387,A son visiting his parents every 2 years is more likely to carry special gifts each time for them than a son who vist them every day.,1,1
388,"Dick and Harry work on two adjacent plots of land of similar size. While Dick takes care of the plants and weeds them and waters them, Harry is never around to care for his plants, so Dick will harvest more grain from his plot of land.",1,1
389,"Dick and Harry work on two adjacent plots of land of similar size. While Dick takes care of the plants and weeds them and waters them, Harry is never around to care for his plants, so Dick will harvest fewer grains from his plot of land.",1,0
390,"When Chris went to his grandfather's funeral, everybody looked so cheerful there.",1,0
391,"When Chris went to his grandfather's funeral, everybody looked so sorrowful there.",1,1
392,"If someone gives you a birthday present, they should say Happy Birthday.",1,1
393,"If someone gives you a birthday present, they should say Happy New Year.",1,0
394,Johannes is an investor so he is more likely to spend all of his money than regular men.,1,0
395,Johannes is an investor so he is more likely to earn his money than regular men.,1,1
396,"Fred is building a house out of sand, so he will probably use hammers and nails to construct it.",1,0
397,"Fred is building a house out of sand, so he will probably use buckets and water to construct it.",1,1
398,"Finch was a fire engine driver, so he used to drive slowly when the siren on.",1,0
399,"Finch was a fire engine driver, so he used to drive fast when the siren on.",1,1
400,Amy just lost her job at the factory and Cindy just won the lottery. Cindy is more likely to book a vacation around the world.,0,1
401,Amy just lost her job at the factory and Cindy just won the lottery. Amy is more likely to book a vacation around the world.,0,0
402,"He works in a building only two blocks away from his house, so he can only get there quickly by car.",1,0
403,"He works in a building only two blocks away from his house, so he doesn't have to drive there.",1,1
404,If you place a dry piece of paper into an open flame it will likely catch fire.,1,1
405,If you place a dry piece of paper into an open flame it will not likely catch fire.,1,0
406,John should make sure to zip his pants before he pees.,1,0
407,John should make sure to zip his pants after he pees,1,1
408,Jack has enrolled for the 4 year engineering course last month and hence he will graduate at the end of this year.,1,0
409,Jack has enrolled for the 4 year engineering course last month and hence he will not graduate at the end of this year.,1,1
410,Tigers are more likely to feel satisfied after eating vegetables rather than meat.,1,0
411,Tigers are more likely to feel satisfied after eating meat rather than vegetables.,1,1
412,John travelled 2000 kilometers to another country by plane.,1,1
413,John travelled 20 kilometers to another country by plane.,1,0
414,Alex is a gardener and Jack is a plumber. When Jack's toilet broke he fixed it himself.,0,1
415,Alex is a gardener and Jack is a plumber. When Jack's toilet broke he asked Alex to fix it for him.,0,0
416,10 minutes of continuous rain has a higher chance of causing flooding than 10 days of continuous rain.,1,0
417,10 minutes of continuous rain has a lower chance of causing flooding than 10 days of continuous rain.,1,1
418,"Ryan knew Martha was a dog lover, so he bought her high quality dog food.",1,1
419,"Ryan knew Martha was a dog lover, so he bought her high quality cat food.",1,0
420,Emily with 6 years of experience at her role is easier to be replaced when compared to Susan who started working last month in the same department.,1,0
421,Emily with 6 years of experience at her role is harder to be replaced when compared to Susan who started working last month in the same department.,1,1
422,Bob's coffee mug was missing so he used a plant cup.,1,0
423,Bob's coffee mug was missing so he used a styrofoam cup.,1,1
424,"If you lost your mitten in a snowbank, a proper alternative would be an oven mitt rather than a plastic grocery bag.",0,1
425,"If you lost your mitten in a snowbank, a proper alternative would be a plastic grocery bag rather than an oven mitt.",0,0
426,It's easier to compute a multi-digit multiplication problem with a calculator than by working it out by hand.,1,1
427,It's harder to compute a multi-digit multiplication problem with a calculator than by working it out by hand.,1,0
428,"If you constantly lift thimbles, you might get muscles.",1,0
429,"If you constantly lift watermelons, you might get muscles.",1,1
430,Sarah left for 5:30 mass at 5:00 in order to be early; it was about a mile away.,1,1
431,Sarah left for 5:30 mass at 5:00 in order to be early; it was about 50 miles away.,1,0
432,A two bedroom house is more suitable for a family of six than a four bedroom house.,1,0
433,A four bedroom house is more suitable for a family of six than a two bedroom house.,1,1
434,"If school starts tomorrow, I should be ready by tomorrow instead of in a few days",1,1
435,"If school starts next week, I should be ready by tomorrow instead of in a few days.",1,0
436,"Brittany and Michael have children in daycare. Michael works later in the evening. Therefore, Brittany is more likely to pick up the children from daycare.",0,1
437,"Brittany and Michael have children in daycare. Michael works later in the evening. Therefore, Brittany is less likely to pick up the children from daycare.",0,0
438,Kevin is a receptionist and Andrew is a waiter so Andrew's work requires more body work,1,1
439,Kevin is a receptionist and Andrew is a waiter so Kevin's work requires more body work,1,0
440,It is much less messy to accidentally put a cracker in a DVD tray than a CD with music on it.,1,0
441,It is much less messy to accidentally put a CD with music on it in a DVD tray than a cracker.,0,1
442,"Moira has a lot of serious allergies, but Sadie doesn't have any. Therefore, Sadie is less likely to eat out at restaurants than Moira.",0,0
443,"Moira has a lot of serious allergies, but Sadie doesn't have any. Therefore, Sadie is more likely to eat out at restaurants than Moira.",0,1
444,The sun was getting in Jeff's eyes so he put on his cap forward rather than backward.,1,1
445,The sun was getting in Jeff's eyes so he put on his cap backward rather than forward.,1,0
446,"Because the drive was 20 miles long, Beth was able to make it to her destination in under 5 hours.",1,1
447,"Because the drive was 20 miles long, Beth was able to make it to her destination in under 5 minutes.",1,0
448,"Victor never brushed his teeth, so his teeth were very healthy.",1,0
449,"Victor never brushed his teeth, so his teeth might have 5 cavities.",0,1
450,It is more traditional to eat rice with chopsticks than a spoon,1,1
451,It is more traditional to eat rice with a spoon than chopsticks,1,0
452,Brushing your teeth twice a week will help prevent cavities and tooth decay.,1,0
453,Brushing your teeth twice a day will help prevent cavities and tooth decay.,1,1
454,It is easier to construct a bridge in 3 days than it is to construct a bridge in 3 years.,1,0
455,It is more difficult to construct a bridge in 3 days than it is to construct a bridge in 3 years.,1,1
456,Tim wanted to make his tux more formal so he added a bolo tie.,1,0
457,Tim wanted to make his tux more formal so he added a bow tie.,1,1
458,A person will starve to death if they go one day without eating any food.,1,0
459,A person will not starve to death if they go one day without eating any food.,1,1
460,"Eager to expand his social base, Tim was excited to find out that he knew no one at the party.",1,1
461,"Eager to expand his social base, Tim was excited to find out that several of his friends were at the party.",1,0
462,30 year old scotch is usually better than 2 year old scotch,1,1
463,30 year old scotch is usually worse than 2 year old scotch,1,0
464,"Jake and Val both work at the pet store. Since Jake is allergic to dogs, Val is more likely to seek a position as a groomer.",0,1
465,"Jake and Val both work at the pet store. Since Jake is allergic to dogs, Jake is more likely to seek a position as a groomer.",0,0
466,"Don's son is a cashier at Walmart. Hank's son is a doctor. Therefore, Hank's son is more likely to have been to college.",0,1
467,"Don's son is a cashier at Walmart. Hank's son is a doctor. Therefore, Hank's son is less likely to have been to college.",0,0
468,"The small size bikini is too small for Amanda to wear, so the medium size might fit instead.",1,1
469,"Even the small size bikini is too big for Amanda to wear, so the medium size might fit instead.",1,0
470,"Since Sarah has three years left at college, she'd be wise to get a 10 hour a week job.",1,1
471,"Since Sarah has three years left at college, she'd be wise to get a 60 hour a week job.",1,0
472,If you cannot find a broom you can sweep crumbs with water.,0,0
473,If you cannot find a broom you can sweep crumbs with towels.,0,1
474,As she has to be at work in 2 minutes she will not have time to talk.,1,1
475,As she has to be at work in 2 hours she will not have time to talk.,1,0
476,Winters are very cold in Russia so its inhabitants have high heating costs.,1,1
477,Winters are very cold in Russia so its inhabitants don't have heating costs.,1,0
478,"Jenny is overweight, so she is more likely to go to a fast food joint than the gym.",1,1
479,"Jenny is overweight, so she is more likely to go to the the gym than a fast food joint.",1,0
480,"The average movie probably lasts around 200 minutes, not 10 hours.",1,1
481,"The average movie probably lasts around 10 hours, not 200 minutes.",1,0
482,"Sally works at a daycare and Jane works as a law firm, so Sally is less likely to be good with children.",1,0
483,"Sally works at a daycare and Jane works as a law firm, so Sally is more likely to be good with children.",1,1
484,His mother will schedule an appointment for her son to take his US driver's test after his sixteenth birthday.,0,1
485,His mother will schedule an appointment for her son to take his US driver's test after his tenth birthday.,1,0
486,"Since I have to work on Saturday, I can plan to go out of town for the day.",1,0
487,"Since I have to work on Saturday, I can't plan to go out of town for the day.",1,1
488,"Since my last exam is today, I booked a flight home from school that departs tomorrow.",1,1
489,"Since my last exam is today, I booked a flight home from school that departed yesterday.",1,0
490,A cat burglar is less likely to be caught by police than a bank robber.,1,1
491,A bank robber is less likely to be caught by police than a cat burglar.,1,0
492,Al is a painter and Sam is an accountant. Al is more likely to work at a desk.,0,0
493,Al is a painter and Sam is an accountant. Sam is more likely to work at a desk.,0,1
494,As the ball dropped in Times Square I put on my sunglasses to minimize the light's reflection from it which was brighter than the sun's.,1,0
495,As the ball dropped in Times Square I put on my sunglasses to minimize the light reflected from it which was brighter than the moon's.,1,1
496,The 600 pound weight was easier to lift than the 200 pound weight.,1,0
497,The 200 pound weight was easier to lift than the 600 pound weight.,1,1
498,"Smith was an ambulance driver, so whenever the patient was there in his ambulance, he used to drive faster.",1,1
499,"Smith was an ambulance driver, so whenever the patient was there in his ambulance, he used to drive slowly.",1,0
500,A steel rod might be more suitable than a wooden spoon for penetrating a brick wall.,1,1
501,A steel rod might be less suitable than a wooden spoon for penetrating a brick wall.,1,0
502,The farmers market starts at 8 am on Sunday. So Larry's family picks up the produce at the market Saturday afternoon rather than Sunday afternoon.,0,0
503,The farmers market starts at 8 am on Sunday. So Larry's family picks up the produce at the market Sunday afternoon rather than Saterday afternoon.,0,1
504,"Daniel has to be back at work in 10 minutes, so he would rather purchase food from the vending machine in the cafeteria than the 5-star restaurant across the street.",1,1
505,"Daniel has to be back at work in 10 minutes, so he would rather purchase food from the 5-star restaurant across the street than the vending machine in the cafeteria.",1,0
506,"On a cold night, it's better to wear a jacket than a tank top",0,1
507,"On a hot day, it's better to wear a jacket than a tank top",0,0
508,A person who has done more than 16 years of school work is more likely to be promoted in shorter amount of time than a person who has done 8 years of school work.,1,1
509,A person who has done more than 16 years of school work is more likely to be promoted in longer amount of time than a person who has done 8 years of school work.,1,0
510,"Juan cut Joe's neck with a knife during surgery, but Maria cut Eliza's neck with a knife because Eliza flirted with Maria's husband. People were shocked by Juan's action.",0,0
511,"Juan cut Joe's neck with a knife during surgery, but Maria cut Eliza's neck with a knife because Eliza flirted with Maria's husband. People were shocked by Maria's action.",0,1
512,A normal staff is more likely to seek guidance from their boss than to make an uniformed decision.,1,1
513,A normal staff is more likely to make an uninformed decision than to seek guidance from their boss.,1,0
514,"Jack had to get up for church early on Sunday morning, so he went drinking Saturday night instead of going to bed early",1,0
515,"Jack had to get up for church early on Sunday morning, so he went to bed early on Saturday instead of staying up.",1,1
516,"With all the rush hour traffic, it's best that John leaves for the airport on time rather than 30 minutes early.",1,0
517,"With all the rush hour traffic, it's best that John leaves for the airport 30 minutes early rather than just on time.",1,1
518,It is faster for 100 builders to construct a building than it is for 300 builders.,1,0
519,It is faster for 300 builders to construct a building than it is for 100 builders.,1,1
520,"Edie takes acrobatic lessons, while Khloe takes dance lessons; Edie is more likely to be able to do a cartwheel than Khloe.",1,1
521,"Edie takes acrobatic lessons, while Khloe takes dance lessons; Khloe is more likely to be able to do a cartwheel than Edie.",0,0
522,Driving is more dangerous when the roads are covered in snow than when they are not.,1,1
523,Driving is safer when the roads are covered in snow than when they are not.,1,0
524,"In order to make our part in saving the planet, it is recommended to write our notes on sheets of paper rather than a LCD reusable blackboard.",1,0
525,"In order to make our part in saving the planet, it is recommended to write our notes on a LCD reusable blackboard rather than sheets of paper.",1,1
526,"Jessica loves fruit but despises vegetables. Therefore, she is more likely to eat banana bread than zucchini bread.",1,1
527,"Jessica loves fruit but despises vegetables. Therefore, she is more likely to eat zucchini bread than banana bread.",1,0
528,"Gregory started working at the store when he was eighteen. In two decades, he is in basic training.",0,0
529,"Gregory started working at the store when he was eighteen. In two months, he is in basic training.",0,1
530,Laura is not likely to help Karen with her extra work since Karen is not grateful.,1,1
531,Laura is likely to help Karen with her extra work since Karen is not grateful.,1,0
532,A steel bottle might be more suitable than a strainer for holding liquid.,1,1
533,A steel bottle might be less suitable than a strainer for holding liquid.,1,0
534,"If you do not have chopsticks, it would be easier to use a fork to eat chow mein than a spoon.",1,1
535,"If you do not have chopsticks, it would be easier to use a spoon to eat chow mein than a fork.",1,0
536,You will usually reach your destination faster if you take a car instead of a bus.,1,1
537,You will usually reach your destination faster if you take a bus instead of a car.,1,0
538,"Mary enjoys speed, so she prefers riding a carousel at the theme park.",1,0
539,"Mary enjoys speed, so she prefers riding on a gyro-drop at the theme park.",1,1
540,"My school bus arrives in 15 minutes, I do not have time to walk home 5 minutes for my umbrella.",1,0
541,"My school bus arrives in 1 minute, I do not have time to walk home 5 minutes for my umbrella.",1,1
542,"Today is January 21, and Valentine's Day is on February 14, so I have plenty of time to search for and land a date for the day of lovers.",1,1
543,"Today is January 21, and Valentine's Day is on February 14, so I don't have enough time to search for and land a date for the day of lovers.",1,0
544,"When draining pasta, cheesecloth is better than a colander.",1,0
545,"When draining pasta, a colander is better than a cheesecloth.",1,1
546,It's easier to make more money in the stock market after 3 years than after 1 month.,1,1
547,It's easier to make more money in the stock market after 1 month than after 3 years.,1,0
548,"Even though the policewoman instructed drivers to stop, they should follow the green light to drive away.",1,0
549,"Even though the traffic signal is green, drivers should follow the policewoman's instruction to stop.",1,1
550,"If a person drinks a litre of vodka with 37.5% alcohol, then the person will have drank more than someone who had 7 litres of beer with 5,6% alcohol",1,0
551,"If a person drinks a litre of vodka with 37.5% alcohol, then the person will have drank more than someone who had 5 litres of beer with 5% alcohol",1,1
552,"Because my natural hair color is black, if I dye my hair blonde, people will likely notice.",1,1
553,"Because my natural hair color is black, if I dye my hair black, people will likely notice.",1,0
554,Sam is a software programmer while Howard works in marketing. Sam is much more likely to wear casual clothing like shirts with cartoons on them while on the job.,1,1
555,Sam is a software programmer while Howard works in marketing. Howard is much more likely to wear casual clothing like shirts with cartoons on them while on the job.,1,0
556,It is less to painful to have surgery than a hug,1,0
557,It is less to painful to have a hug than surgery,1,1
558,"Hayden was 17 months old, so he knew it was time to start looking into what colleges he is interested in.",1,0
559,"Hayden was 17 years old, so he knew it was time to start looking into what colleges he is interested in.",1,1
560,He decided to take a 5-minute nap at the station before his train left in 15 minutes.,1,1
561,He decided to take a 1500-second nap at the station before his train left in 15 minutes.,1,0
562,"His exam started in twenty minutes, so he decided he'd take an hour-long nap afterward instead of before.",1,1
563,"His exam started in twenty minutes, so he decided he'd take an hour-long nap before it instead of afterward.",1,0
564,"Since I am scheduled to work 4 hours on Friday, I will have plenty of time to schedule personal appointments for that day.",1,1
565,"Since I am scheduled to work 12 hours on Friday, I will have plenty of time to schedule personal appointments for that day.",1,0
566,It is safer to drink milk after it's been refrigerated for 20 weeks rather than 1 week.,1,0
567,It is safer to drink milk after it's been refrigerated for 1 week rather than 20 weeks.,1,1
568,"If we don't close that door, an intruder could open it and walk in.",0,1
569,"If we lock that door, an intruder could walk right through it.",1,0
570,My arms hurt after reading this heavy book for too many hours. Next time I'll buy an omnibus instead of a single volume.,0,0
571,My arms hurt after reading this heavy book for too many hours. Next time I'll buy a single volume instead of another omnibus.,0,1
572,"To keep make food last longer, keep the refrigerator partly open rather than fully closed.",1,0
573,"To keep make food last longer, keep the refrigerator fully closed rather than partly open.",1,1
574,A person born 8 years ago has not lived longer than a person born 80 months ago.,1,0
575,A person born 8 years ago has lived longer than a person born 80 months ago.,1,1
576,"Jimmy wanted to feed 5 people, so he made 1 can of soup.",1,0
577,"Jimmy wanted to make dinner just for himself, so he made 1 can of soup.",1,1
578,It is more likely that your bread will rise with 2 tablespoons of yeast in it than with sugar.,1,1
579,It is more likely that your bread will rise with 2 tablespoons sugar in it than with yeast.,1,0
580,I love going to the mall to get some fresh air.,1,0
581,I love going to the forest to get some fresh air.,1,1
582,"You can walk more than 10 miles in a hour, if you keep a steady pace of 20 miles per hour.",1,1
583,"You can walk 10 miles in a hour, if you keep a steady pace of 5 miles per hour.",1,0
584,The skills James developed while making jewelry translated well to his later interest in gardening.,1,0
585,The skills James developed while making jewelry translated well to his later interest in watch repair.,1,1
586,The storm is supposed to hit in 50 minutes and I love running in the rain so I'll go on a run in 50 minutes.,1,1
587,The storm is supposed to hit in 50 minutes and I love running in the rain so I'll go on a run in 5 minutes.,1,0
588,The diamond bar was likely to be harder than the iron bar.,1,1
589,The iron bar was likely to be harder than the diamond bar.,1,0
590,A needle is less suitable for sewing than a stapler.,1,0
591,A needle is more suitable for sewing than a stapler.,1,1
592,"If you're driving right behind someone who suddenly brakes, you might only have a minute or two to react before crashing!",1,0
593,"If you're driving right behind someone who suddenly brakes, you might only have a second or two react before crashing!",1,1
594,"There are crumbs all over the floor and they need to be cleaned up, I should do this with the vacuum.",1,1
595,"There are crumbs all over the floor and they need to be cleaned up, I should do this with the garbage can.",0,0
596,"If I want to keep a houseplant healthy, I should place it by a window that gets six hours of sunlight a day.",1,1
597,"If I want to keep a houseplant healthy, I should place it by a window that gets sixty minutes of sunlight a day.",1,0
598,"1 day after it is born, a cat is not physically capable of reproducing.",1,1
599,"1 day after it is born, a cat is physically capable of reproducing.",0,0
600,Penny's children are more likely to get sick than Jenny's children because Jenny is an antivaxxer while Penny respects the immunization schedule.,1,0
601,Jenny's children are more likely to get sick than Penny's children because Jenny is an antivaxxer while Penny respects the immunization schedule.,1,1
602,It is normal for someone to spit in the face of a person they have just met.,1,0
603,It is abnormal for someone to spit in the face of a person they have just met.,1,1
604,"In a bar, I would normally refuse a glass of wine from a stranger.",1,1
605,"In a bar, I would normally refuse a glass of wine from my date.",1,0
606,"If Eric eats twenty chocolate bars, he will probably get a stomach ache.",1,1
607,"If Eric eats two chocolate bars, he will get a stomach ache.",1,0
608,"Ruby was seven months pregnant in October, so she expected to be even bigger in November, but smaller by January.",1,1
609,"Ruby was four months pregnant in October, so she expected to be even bigger in November, but smaller by January.",1,0
610,Tim's hair is long so he doesn't have to use much conditioner.,1,0
611,Tim's hair is short so he doesn't have to use much conditioner.,1,1
612,"As they started on the 2 hour journey from home just now, they will not reach the office in ten minutes for the meeting.",1,1
613,"As they started on the 2 hour journey from home just now, they will reach the office in ten minutes for the meeting.",1,0
614,"Bill's grass is 2 feet tall, and Tom's grass is freshly cut. Both Bill and Tom ask John to borrow John's lawn mower. John thinks it makes sense to let Tom borrow the mower first.",0,0
615,"Bill's grass is 2 feet tall, and Tom's grass is freshly cut. Both Bill and Tom ask John to borrow John's lawn mower. John thinks it makes sense to let Bill borrow the mower first.",0,1
616,"As he didn't have a match to light the fire, he could use a feather instead.",1,1
617,"As he didn't have a match to light the fire, he could use a mirror instead.",1,0
618,"Jerry wanted to buy a computer for many years, he prayed hard for it and he was obliged by god.",1,0
619,"Jerry wanted to buy a computer for many years, he saved for it and bought it on his birthday.",1,1
620,"Since my doctor's appointment is at noon and it takes twenty minutes to get there, I should leave by 11:45 am.",1,0
621,"Since my doctor's appointment is at noon and it takes ten minutes to get there, I can leave by 11:45 am.",1,1
622,"Because Susan needs to go to an exam in twenty minutes, she should make her own oatmeal instead of eating the instant one.",1,0
623,"Because Susan needs to go to an exam in twenty minutes, she should eat instant oatmeal instead of making her own.",1,1
624,It's more convenient to use a cloth than a hammer for cleaning the windows.,1,1
625,It's less convenient to use a cloth than a hammer for cleaning the windows.,1,0
626,"If you feel drowsy while working an office job, you should stand up while working for a few minutes.",1,1
627,"If you feel drowsy while working an office job, you should sit down while working for a few minutes.",1,0
628,Laura has been trying to memorize a Beethoven Piano Sonata. It took her five minutes.,1,0
629,Laura has been trying to memorize a Beethoven Piano Sonata. It may take her days.,1,1
630,A person who works from home is more likely to wear pajamas while working than a person who works in an office.,1,1
631,A person who works in an office is more likely to wear pajamas while working than a person who works from home.,1,0
632,"The movie was starting in ten minutes, so the couple decided to have dinner before the movie instead of afterward",1,0
633,"The movie was starting in ten minutes, so the couple decided to have dinner afterward instead of before the movie.",1,1
634,Sonia got up late so she did'nt have time for breakfast.,1,1
635,Sonia got up late so she did'nt have time for dinner,1,0
636,"Sally is an elementary school teacher, while Betty works at a grocery store. Therefore, Sally is more likely to have time off in summer.",0,1
637,"Sally is an elementary school teacher, while Betty works at a grocery store. Therefore, Betty is more likely to have time off in summer.",0,0
638,"If your car does not start, it may be better to take a taxi rather than to run to work.",0,1
639,"If your car does not start, it may be better to run to work rather than to take a taxi.",0,0
640,"Both Pam and Brad are co-workers. Pam needs to spend time with his aging aunt, while Brad lives alone. Therefore, Brad is more likely to ask for a raise.",1,0
641,"Both Pam and Brad are co-workers. Pam needs to spend time with his aging aunt, while Brad lives alone. Therefore, Pam is more likely to ask for a raise.",1,1
642,Nicole is a track star while Yolanda is a receptionist. Nicole is much more likely than Yolanda to need to purchase new shoes often.,1,1
643,Nicole is a track star while Yolanda is a receptionist. Yolanda is much more likely than Nicole to need to purchase new shoes often.,1,0
644,"For ice skaters training for the Olympics, an hour a day of training is not enough, but six hours a day might be.",1,1
645,"For ice skaters training for the Olympics, an hour a day of training is enough, and six hours a day is excessive.",1,0
646,"If you need to get gum out of your hair, vinegar would probably be more effective than oil.",1,0
647,"If you need to get gum out of your hair, oil would probably be more effective than vinegar.",1,1
648,"If you want to make a good batch of popcorn, you should microwave it until there is one minute between pops.",0,0
649,"If you want to make a good batch of popcorn, you should microwave it until there is one second between pops.",1,1
650,"If you feel a cramp in your legs, you should bend your legs to relieve some of the tension.",1,0
651,"If you feel a cramp in your legs, you should stretch your legs to relieve some of the tension.",1,1
652,"Since some time is reserved for commercials, the hour-long TV program lasts exactly 60 minutes.",1,0
653,"Since some time is reserved for commercials, the hour-long TV program lasts less than 60 minutes.",1,1
654,"Since it looked like it may rain at night, John closed all windows before going to bed instead of in the morning",1,1
655,"Since it looked like it may rain at night, John closed all windows in the morning instead of before going to bed",0,0
656,"The car seats four people, so Jerry and his three friends can ride in it together.",1,1
657,"The car seats four people, so Jerry and his four friends can ride in it together.",1,0
658,Infrastructural facilities are more important than Medical facilities for the general health of the people.,1,0
659,Medical facilities are more important than infrastructural facilities for the general health of the people.,1,1
660,"Since she didn't have a hair tie, Cassie used a necklace to keep the hair out of her face",1,0
661,"Since she didn't have a hair tie, Cassie used a scarf to keep the hair out of her face.",1,1
662,It is easier to eat cereal with a fork than a spoon,1,0
663,It is easier to eat cereal with a spoon than a fork,1,1
664,The house party got so loud that the neighbours called the DJ,1,0
665,The house party got so loud that the neighbours called the police,1,1
666,"In the wintertime in Canada, playing pond hockey is more popular than in the summertime.",1,1
667,"In the summertime in Canada, playing pond hockey is more popular than in the wintertime.",1,0
668,"Needing to clean the condensation off of the refrigerator door, a wet rag will do the trick.",0,0
669,"Needing to clean the condensation off of the refrigerator door, a dry rag will do the trick.",0,1
670,"Jane was born without legs but Lina was born with two legs, so it is more likely that Jane would be an activist for people with disabilities than Lina.",1,1
671,"Jane was born without legs but Lina was born with two legs, so it is more likely that Lina would be an activist for people with disabilities than Jane.",1,0
672,"Anna married her high school sweetheart, and Jenna met her husband at work. Jenna probably met her spouse more recently.",0,1
673,"Anna married her high school sweetheart, and Jenna met her husband at work. Anna probably met her spouse more recently.",0,0
674,"Someone who has $1000 in the bank and gets 3% interest per year, will have more than $1030 at the end of the first year",1,0
675,"Someone who has $1000 in the bank and gets 4% interest per year, will have more than $1030 at the end of the first year",1,1
676,"With a salary of $25,000 a year, he cannot afford to rent an apartment that costs $2,500 a month.",1,1
677,"With a salary of $25,000 a year, he can afford to rent an apartment that costs $2,500 a month.",1,0
678,It's less convenient to take a train to work than to walk to work,1,0
679,It's more convenient to take a train to work than to walk to work,1,1
680,Sandy is a banker so that she is more likely to have free time at night than in the day time.,1,1
681,Sandy is a banker so that she is less likely to have free time at night than in the day time.,1,0
682,Her water broke so they took their car instead of waiting for the bus.,1,1
683,Her water broke so they waited for the bus instead of taking their car.,1,0
684,"If I need to move my fish from one bowl to another, I should make sure they are out of the water for no longer than five minutes instead of five seconds.",0,0
685,"If I need to move my fish from one bowl to another, I should make sure they are out of the water for no longer than five seconds instead of five minutes.",1,1
686,"Rachel wants a pet with a long life span, so she gets a hamster instead of a dog.",1,0
687,"Rachel wants a pet with a long life span, so she gets a dog instead of a hamster.",1,1
688,"To play baseball without a baseball, a basketball is a better substitute than a tennis ball.",1,0
689,"To play baseball without a baseball, a tennis ball is a better substitute than a basketball.",1,1
690,"Because she hates driving and a long commute, Sam is less likely to opt for the job that's a 30 minute drive away rather than the job that is a 1 hour drive away.",1,0
691,"Because she hates driving and a long commute, Sam is more likely to opt for the job that's a 30 minute drive away rather than the job that is a 1 hour drive away.",1,1
692,"If you plug in earbuds into your laptop's microphone jack, they'll try to function as microphones.",1,1
693,"If you plug in earbuds into your laptop's microphone jack, they'll function as earphones.",1,0
694,"If a fence is not installed on the property, the dogs can't leave the yard.",1,0
695,"If a fence is not installed on the property, the dogs could leave the yard.",1,1
